city_name,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
Cauayan,1.689516129032258,472.10572580645163,0.23858870967741935,6.301451612903226,24.70375,1.1256048387096773,12.808951612903225,14.737459677419354,16.852096774193548
Cavite City,2.3588709677419355,647.7677822580646,0.8023790322580645,16.10435483870968,54.22915322580645,8.563709677419356,30.62911290322581,43.49338709677419,3.2938306451612904
Cebu City,1.5403225806451613,434.5954032258065,0.24258064516129033,8.26850806451613,21.169072580645164,5.242056451612903,11.255120967741936,14.834112903225806,7.7777419354838715
City of Marikina,3.217741935483871,1249.2756451612902,9.598790322580646,27.386693548387097,28.276895161290323,19.99008064516129,51.76032258064516,66.96725806451613,9.913266129032257
City of Masbate,1.1048387096774193,282.1035080645161,0.021088709677419357,1.459475806451613,24.976693548387097,0.7272580645161291,4.178104838709678,4.617338709677419,1.3626612903225805
City of Passi,1.7983870967741935,577.0196774193548,1.2263709677419354,7.798346774193549,16.78875,1.594516129032258,15.834919354838709,17.991653225806452,7.269556451612903
City of Sorsogon,1.2661290322580645,308.2614112903226,0.03717741935483871,2.5637903225806453,22.09540322580645,4.341733870967742,7.024274193548387,7.697177419354839,2.2015322580645162
Cotabato,1.1733870967741935,331.26298387096773,0.06189516129032258,2.7375,19.14774193548387,0.3764516129032258,5.310564516129032,6.210927419354839,2.748951612903226
Dagupan,1.064516129032258,303.50370967741935,0.05548387096774193,2.0550806451612904,19.393548387096775,0.40995967741935485,4.8525,5.268951612903226,2.3717741935483874
Danao,1.4233870967741935,382.46854838709675,0.1578225806451613,7.652338709677419,26.81383064516129,3.8246774193548387,9.299798387096773,10.899314516129033,3.0438709677419356
Dapitan,1.5403225806451613,434.5954032258065,0.24258064516129033,8.26850806451613,21.169072580645164,5.242056451612903,11.255120967741936,14.834112903225806,7.7777419354838715
Dasmariñas,1.8266129032258065,515.956129032258,0.4360483870967742,10.235645161290323,42.387822580645164,4.62008064516129,18.280725806451613,22.4225,1.7553629032258065
Davao,1.4919354838709677,550.2226209677419,1.0822983870967744,15.882943548387097,24.92258064516129,5.096370967741936,9.154516129032258,10.987862903225805,6.178346774193549
Digos,1.0564516129032258,304.6946370967742,0.05439516129032258,2.6615725806451613,20.57310483870968,0.42459677419354835,3.778266129032258,4.292217741935484,1.6023387096774193
Dipolog,1.0080645161290323,261.4170161290323,0.01963709677419355,0.8056048387096774,27.33298387096774,0.26629032258064517,1.6065322580645163,1.8287096774193548,0.5599193548387097
Dumaguete,1.0766129032258065,280.23306451612905,0.05370967741935484,2.770806451612903,20.731733870967744,1.2883870967741935,3.585040322580645,4.140201612903225,2.613548387096774
El Salvador,1.0524193548387097,293.58423387096775,0.03520161290322581,2.1561693548387098,32.815443548387094,1.0452822580645162,3.9854435483870967,4.447338709677419,1.8593145161290323
Escalante,1.1008064516129032,301.08112903225805,0.03536290322580645,1.7198387096774193,32.83483870967742,0.6241129032258065,3.8393548387096774,4.793709677419354,1.0147177419354838
Gapan,2.629032258064516,795.9855645161291,1.2764516129032257,12.248548387096774,27.31633064516129,2.511411290322581,31.1929435483871,35.749637096774194,5.66508064516129
General Santos,1.2701612903225807,369.93108870967745,0.11633064516129032,3.822701612903226,14.801895161290322,0.6223790322580645,6.65983870967742,7.419395161290322,3.0295564516129034
General Trias,1.8266129032258065,515.956129032258,0.4360483870967742,10.235645161290323,42.387822580645164,4.62008064516129,18.280725806451613,22.4225,1.7553629032258065
Gingoog City,1.0040322580645162,264.72814516129034,0.019153225806451613,1.1451612903225807,32.00016129032258,0.3506451612903226,2.005483870967742,2.2091532258064515,0.7195967741935484
